distancia,cant
419.30,1
419.70,1
458.20,1
471.20,1
494.20,1
496.20,1
523.80,1
542.70,1
546.80,1
548.80,1
554.00,1
555.70,1
557.90,1
560.00,2
560.80,1
561.00,1
572.70,1
573.10,1
582.00,1
584.40,1
590.70,1
593.80,1
594.50,1
598.40,1
604.50,1
606.90,1
609.00,1
609.90,1
619.20,1
622.30,1
623.00,1
624.70,2
627.10,1
627.20,1
629.80,1
629.90,1
632.80,1
635.60,1
635.80,1
637.40,1
637.50,1
639.00,1
642.70,1
643.20,1
645.30,1
650.00,2
652.80,1
653.80,1
654.70,1
655.40,1
662.30,1
662.70,1
663.00,1
664.10,1
664.40,1
666.50,1
670.50,1
671.90,1
672.20,1
672.30,2
672.80,1
674.50,1
676.40,1
678.30,1
678.80,1
679.00,1
679.20,1
679.40,1
681.10,1
682.80,2
686.20,1
690.70,1
692.30,1
692.60,1
696.30,1
698.40,1
702.60,1
702.70,1
704.10,1
704.50,1
706.30,1
706.50,1
706.80,2
707.60,1
708.30,1
709.80,1
710.20,1
711.10,1
712.00,1
712.10,2
713.50,1
714.20,1
714.90,1
721.20,1
721.60,1
721.70,1
722.80,1
722.90,1
723.00,1
723.10,1
723.40,1
724.30,1
724.80,1
726.80,1
727.00,1
729.30,1
730.60,1
731.80,1
732.30,1
733.40,1
734.20,1
734.30,1
735.00,1
736.40,1
737.00,1
737.20,1
738.50,1
740.10,1
740.40,1
741.00,1
741.40,1
742.40,1
742.90,1
743.00,1
743.40,1
743.50,1
743.70,1
745.30,1
745.40,2
745.90,1
746.20,1
746.30,1
746.80,1
747.50,2
747.70,1
748.20,1
748.50,1
748.70,1
748.90,1
750.40,1
753.40,1
754.20,1
754.40,2
755.40,1
755.70,1
756.90,2
757.60,1
758.60,1
759.00,1
759.20,1
759.30,1
759.50,1
759.90,1
760.20,1
760.40,1
760.80,1
761.90,1
762.00,1
762.30,1
762.80,2
763.60,1
763.70,1
763.90,1
764.60,1
765.80,1
766.10,1
767.70,1
768.40,1
768.80,1
770.10,1
770.20,1
770.60,1
770.80,1
770.90,1
771.00,1
771.40,1
772.20,1
773.30,1
773.80,1
773.90,1
774.00,1
774.50,1
774.90,1
775.00,1
776.60,1
777.20,1
777.60,1
778.40,1
778.70,1
779.70,1
780.20,1
780.30,1
780.90,1
781.10,1
781.20,1
781.90,1
782.00,1
782.40,1
782.70,1
783.20,2
783.60,1
783.70,1
783.80,1
783.90,1
784.60,1
784.90,1
785.00,1
785.50,1
786.20,1
786.30,1
786.90,1
787.80,1
788.50,1
789.10,1
789.20,1
789.70,1
790.80,1
791.30,1
791.70,1
792.20,1
792.30,1
792.60,1
792.70,2
793.70,1
793.80,1
794.80,1
795.80,1
796.30,1
796.80,1
797.30,1
798.00,1
798.20,1
798.30,1
799.50,1
799.60,1
801.10,1
801.80,1
801.90,1
802.10,1
802.80,1
803.90,1
804.20,1
804.80,1
804.90,1
805.00,2
805.70,2
805.80,1
806.20,1
806.70,2
806.80,1
807.10,1
807.50,2
808.40,1
808.90,1
809.10,1
809.30,1
810.40,2
810.50,1
810.80,1
811.00,1
811.20,1
811.50,1
813.90,1
814.30,1
814.40,1
814.60,1
814.90,1
815.10,1
815.60,1
815.70,1
816.70,1
816.90,1
817.70,1
818.40,2
818.60,1
819.40,1
819.50,1
819.90,2
821.20,1
821.40,1
822.50,1
822.60,1
822.80,1
823.30,1
823.70,1
824.20,1
824.70,1
825.50,1
826.70,2
827.00,1
827.40,1
828.60,1
829.20,1
829.70,1
829.80,1
830.30,1
831.00,1
831.10,1
831.90,1
832.00,1
832.20,1
832.90,1
836.00,1
836.10,1
836.50,1
837.10,1
837.20,1
837.30,1
837.40,1
837.80,1
838.10,1
838.30,2
838.40,1
838.50,2
838.80,1
839.10,1
839.60,1
839.80,1
840.20,2
840.60,1
841.40,1
841.50,2
842.00,1
842.30,1
842.80,1
842.90,1
843.00,1
843.20,1
843.40,2
843.50,1
843.60,1
843.70,2
843.90,1
844.60,1
844.70,1
844.80,1
844.90,2
845.00,1
845.30,1
845.40,1
845.90,1
846.70,1
847.50,1
848.30,1
848.70,1
848.90,2
849.20,1
849.40,1
849.70,2
849.80,1
850.20,1
850.30,1
850.40,1
852.20,1
852.30,2
852.60,1
853.00,1
853.10,1
854.20,1
854.40,2
855.20,2
856.00,2
856.10,1
856.30,1
856.70,1
857.00,1
857.20,1
857.40,1
857.60,1
857.70,1
858.00,1
858.80,1
858.90,1
859.30,1
859.40,1
859.80,1
860.10,1
860.90,1
861.40,2
861.70,1
862.00,1
862.50,1
862.70,2
862.80,1
862.90,1
863.70,1
863.90,2
864.40,1
864.70,1
864.80,1
865.00,1
865.20,1
865.50,1
865.70,1
866.20,1
866.30,1
866.40,1
866.50,1
866.60,1
866.70,1
866.80,3
867.00,2
867.20,1
867.60,1
867.80,1
867.90,1
868.50,1
868.80,1
869.20,2
869.30,2
869.50,1
869.80,2
870.70,1
871.30,2
871.50,1
872.10,3
872.50,1
872.60,2
872.90,1
873.50,1
873.60,2
873.70,1
873.90,1
874.50,2
874.80,1
875.10,1
875.20,1
875.60,1
875.70,1
875.90,1
876.10,1
876.30,1
876.60,1
876.70,1
876.80,1
877.30,1
877.70,1
878.00,1
878.10,1
878.40,2
878.80,1
878.90,1
879.00,2
879.30,1
879.50,1
879.70,1
880.20,1
880.70,1
880.80,1
881.00,1
881.10,1
881.20,1
881.70,1
881.80,2
882.00,1
882.20,1
882.30,1
882.60,1
882.70,1
882.80,1
883.00,1
883.30,2
883.70,1
884.20,1
884.30,1
884.50,1
884.60,1
884.70,1
