distancia,cant
1841.80,1
1965.30,1
1990.80,1
2041.90,1
2074.60,1
2081.90,1
2086.10,1
2101.20,1
2113.10,1
2117.80,1
2119.50,1
2120.00,1
2122.90,1
2125.00,1
2134.40,1
2137.70,1
2140.80,1
2144.70,1
2147.80,1
2148.90,1
2149.00,1
2152.20,1
2155.20,1
2158.70,1
2159.60,1
2165.20,1
2165.60,1
2166.60,1
2168.50,1
2168.60,1
2171.70,1
2171.90,1
2173.30,1
2174.80,1
2180.40,1
2181.40,1
2181.90,1
2184.70,1
2186.20,1
2188.40,1
2189.20,1
2189.70,1
2189.90,1
2191.50,1
2192.00,1
2196.40,1
2201.60,1
2208.50,1
2208.60,1
2210.30,1
2211.70,1
2213.90,1
2214.60,1
2217.00,1
2218.40,1
2219.30,1
2221.70,1
2222.60,1
2223.30,1
2223.50,2
2224.50,1
2225.20,1
2226.10,1
2226.50,1
2226.90,1
2230.30,1
2232.30,1
2233.40,2
2234.30,1
2234.40,1
2236.40,1
2237.30,1
2237.80,1
2239.10,1
2241.30,1
2243.80,1
2245.60,1
2245.80,1
2246.00,1
2248.90,1
2249.50,1
2251.00,1
2251.60,1
2252.40,1
2252.70,2
2253.90,1
2254.10,1
2255.00,1
2256.00,1
2256.60,1
2257.30,1
2258.70,1
2259.10,1
2259.30,1
2259.80,1
2260.30,1
2260.40,1
2260.80,1
2261.00,2
2261.90,1
2262.40,1
2262.60,1
2264.10,1
2264.90,1
2265.10,1
2265.30,1
2266.10,1
2268.30,1
2269.80,1
2270.40,1
2271.90,1
2274.30,1
2275.10,1
2275.20,1
2275.50,1
2276.20,2
2277.30,1
2281.00,1
2281.10,1
2281.40,1
2282.70,1
2283.20,1
2284.40,1
2284.60,1
2285.10,2
2286.40,1
2287.30,1
2289.10,1
2291.00,1
2291.60,1
2292.00,2
2292.20,1
2292.90,1
2295.40,1
2297.50,1
2297.60,1
2299.00,1
2301.70,1
2301.80,1
2302.60,1
2303.10,1
2303.20,1
2303.40,1
2304.40,1
2304.50,1
2305.50,1
2306.50,1
2308.60,1
2308.90,1
2309.80,2
2310.60,1
2311.60,2
2312.10,1
2312.40,1
2313.00,1
2314.10,1
2314.30,1
2315.10,1
2317.30,1
2318.60,1
2319.40,1
2319.90,1
2320.70,1
2321.40,2
2322.80,1
2323.20,1
2323.60,1
2323.90,1
2324.40,1
2324.80,1
2325.00,1
2325.70,1
2326.10,1
2326.50,1
2327.10,1
2327.50,1
2327.90,1
2328.20,1
2329.50,1
2330.40,2
2330.50,1
2332.40,1
2332.90,1
2333.10,1
2334.30,1
2334.50,1
2334.80,1
2335.30,1
2336.00,1
