distancia,cant
1368.30,1
1715.70,1
1752.60,1
1779.00,1
1790.20,1
1798.90,1
1812.60,1
1819.10,1
1824.40,1
1828.90,1
1837.50,1
1842.10,1
1850.50,1
1853.80,2
1854.30,1
1857.40,1
1869.30,1
1876.50,1
1876.80,1
1879.80,1
1880.90,1
1882.50,1
1884.00,1
1884.30,1
1885.90,1
1888.20,1
1896.20,1
1900.50,1
1902.00,1
1903.40,1
1906.60,1
1908.00,1
1909.00,1
1910.30,1
1910.40,1
1911.00,1
1912.00,1
1916.30,1
1917.50,1
1919.40,1
1920.20,1
1925.40,1
1926.10,1
1926.20,1
1926.30,1
1926.70,1
1927.60,1
1928.20,1
1930.70,1
1935.70,1
1936.30,1
1936.60,1
1939.20,1
1941.90,1
1945.30,1
1946.30,1
1947.70,1
1948.00,1
1951.70,1
1952.00,1
1953.40,1
1954.20,1
1955.70,1
1956.20,1
1956.40,1
1957.50,1
1958.30,1
1958.90,1
1959.80,1
1961.40,1
1962.20,1
1963.10,1
1965.60,2
1966.20,1
1966.30,1
1968.30,1
1969.30,1
1969.70,2
1970.00,1
1970.90,1
1971.90,1
1972.00,1
1972.10,1
1972.70,1
1973.20,1
1974.10,1
1974.70,1
1975.00,1
1976.50,1
1976.80,1
1978.10,1
1978.40,1
1979.20,1
1982.00,1
1982.60,1
1984.20,1
1984.80,1
1984.90,1
1986.80,1
1987.40,1
1987.70,1
1987.80,1
1987.90,1
1989.30,1
1989.60,1
1990.30,2
1990.60,2
1992.20,1
1992.50,1
1994.00,2
1994.40,1
1994.90,1
1995.40,1
1995.70,1
1997.00,1
1998.00,1
2000.30,2
2001.60,1
2002.40,2
2004.00,1
2007.00,1
2007.70,1
2008.10,1
2008.50,1
2008.80,1
2008.90,1
2009.20,1
2010.00,1
2010.20,1
2010.30,1
2010.70,1
2010.90,1
2011.00,1
2012.30,1
2012.60,2
2012.80,1
2013.40,1
2013.50,1
2014.50,1
2014.90,1
2015.00,1
2015.20,1
2015.30,1
2015.90,1
2016.30,1
2016.40,1
2016.90,1
2017.50,1
2017.90,1
2018.30,1
2018.40,1
2019.10,1
2020.50,1
2020.60,1
2021.00,1
2021.40,1
2022.70,1
2023.00,2
2023.50,1
2024.10,1
2024.40,1
2024.60,1
2025.10,1
2026.30,1
2027.00,1
2028.00,2
2028.70,1
2029.10,1
2029.60,2
2030.30,1
2030.60,1
2031.10,1
2032.30,1
2032.50,1
2032.80,1
2033.20,1
2033.30,1
2033.80,1
2034.50,1
2034.90,1
2036.10,1
2036.30,1
2036.40,1
2037.40,1
2037.80,1
2038.50,1
2039.00,1
2040.80,2
2041.00,1
2042.00,1
2042.80,1
2043.70,1
2044.90,1
2045.00,1
2045.10,1
2045.30,1
2045.70,2
2045.80,1
2045.90,1
2046.50,1
2046.90,1
2047.10,1
2047.20,1
2047.90,1
2048.00,1
2048.20,1
2049.00,1
2049.10,1
2049.20,1
2049.90,2
2050.60,1
2050.70,1
2051.40,1
2051.50,1
2052.60,1
2052.80,2
2053.20,1
2053.60,1
2053.80,1
2054.70,1
2055.20,1
2055.40,1
2055.50,1
2057.00,1
2057.20,1
2057.40,1
2057.70,1
2057.80,2
2058.30,1
2058.90,1
2059.10,2
2059.30,1
2059.90,1
2060.00,1
2060.40,1
2061.10,1
2061.30,1
2061.40,1
2061.50,1
2061.80,1
2062.20,1
2062.30,1
2062.80,1
2063.00,2
2063.10,1
2063.30,1
2063.50,1
2063.70,1
2064.20,1
2064.30,1
2064.40,1
2065.20,2
2065.90,1
2066.20,2
2066.80,1
2067.10,1
2068.00,1
2068.60,2
2068.80,1
2069.00,1
2069.10,1
2069.40,1
2070.10,2
2070.40,1
2071.20,1
2071.40,1
2071.70,2
2071.90,1
2072.20,1
2072.40,2
2072.50,1
2072.60,1
2072.80,1
2072.90,1
2073.00,1
2073.10,1
2073.30,1
2073.40,1
2073.70,1
2073.80,1
2074.20,1
2074.60,1
2075.00,1
2075.10,1
2075.20,2
2075.30,1
2075.40,1
2075.70,1
2076.00,1
2076.10,1
2076.30,1
2076.40,1
2076.50,1
2076.70,1
2077.00,1
2077.30,1
2077.60,1
2077.80,2
2079.00,1
2079.80,2
2080.50,1
2080.90,1
2081.10,2
2081.50,1
2081.60,1
2081.80,1
2082.00,2
2082.60,2
2082.80,1
2082.90,1
2083.40,1
2083.80,1
2083.90,2
2084.00,2
2084.10,2
2084.40,1
2085.20,1
2086.00,1
2086.10,1
2086.20,1
2086.80,2
2087.40,1
2087.90,2
2088.20,2
2089.00,1
2089.30,1
2089.40,1
2090.40,1
2090.80,1
2091.10,1
2091.90,1
2092.40,1
2092.70,1
2092.80,1
2092.90,1
2093.20,1
2093.40,1
2093.60,1
2094.00,2
2094.20,1
2094.90,3
2095.00,1
2095.10,1
2095.60,1
2096.20,1
2096.40,1
2096.60,1
2097.30,1
2097.40,1
2097.60,1
2097.70,1
2098.10,1
2098.20,2
2098.40,2
2098.50,1
2099.10,1
2099.20,2
2099.50,1
2099.60,1
2099.80,1
2100.80,1
2101.80,1
2102.30,1
2102.50,1
2103.20,2
2103.30,2
2104.10,1
2104.20,1
2104.50,1
2104.80,1
2105.60,1
2105.80,1
2106.00,1
2106.10,2
2106.20,1
2106.30,1
2106.40,1
2106.50,2
2106.90,2
2107.40,1
2107.60,1
2107.70,1
2108.00,1
2108.10,1
2108.20,1
2108.30,2
2108.40,1
2108.50,1
2108.70,2
2108.80,1
2109.30,1
2109.70,1
2110.00,1
2110.10,1
2110.50,1
2110.70,1
2111.30,1
2111.60,1
2111.90,1
2112.10,1
2112.20,1
2112.30,1
2112.50,1
2112.90,2
2113.20,1
2113.50,1
2113.70,1
2114.00,3
2114.50,1
2114.80,1
2115.30,1
2115.50,1
2115.70,1
2115.80,1
2116.20,1
2116.50,1
2116.80,2
2117.20,1
2117.30,1
2117.40,1
2117.50,1
2117.70,2
2118.60,1
2118.70,2
2119.00,1
2119.10,1
2119.20,3
2119.70,1
2120.00,2
2120.10,2
2120.20,1
2120.50,1
2120.60,1
2120.70,1
2120.90,2
2121.00,1
2121.60,1
2121.90,1
2122.10,1
2122.30,1
2122.40,1
2122.70,1
2122.80,1
2123.00,1
2123.10,1
2123.50,1
2123.80,2
2123.90,2
2124.60,1
2124.70,1
2124.80,1
2125.00,1
2125.20,1
2125.30,1
2125.40,1
2125.60,1
2126.00,1
2126.50,1
2126.80,1
2127.10,1
2127.20,1
2127.30,1
2127.50,2
2127.80,1
2128.00,1
2128.50,2
2128.60,2
2128.70,1
2129.30,1
2129.40,2
2129.60,1
2129.70,1
2129.80,2
2130.00,1
2130.10,1
2130.20,2
2130.40,1
2130.50,1
2130.60,1
2130.70,1
2130.80,1
2131.10,4
2132.00,2
2132.70,1
2132.80,1
2133.00,1
2133.20,1
2134.20,1
2134.30,1
2134.40,1
2134.50,1
2134.70,1
2134.90,1
2135.00,2
2135.10,1
2135.40,1
2135.50,1
2135.60,1
2135.80,1
2135.90,1
2136.70,1
2136.80,1
2137.00,1
2137.10,2
2137.20,3
2137.30,2
2137.50,1
2137.60,2
2137.70,1
2137.90,1
2138.00,2
2138.30,1
2138.50,1
2138.60,2
2138.70,1
2138.90,1
2139.00,2
2139.10,1
2139.20,1
2139.40,1
2140.00,1
2140.30,2
2140.50,1
2140.80,2
2141.10,2
2141.40,1
2141.50,1
2141.60,1
2141.70,1
2141.90,1
2142.00,2
2142.30,2
2143.10,1
2143.20,1
2143.70,2
2143.80,2
2144.00,1
2144.20,1
2144.40,1
2144.80,1
2144.90,1
2145.10,1
2145.40,1
2145.60,2
2145.90,1
2146.00,1
2146.10,2
2147.00,1
2147.30,1
2147.40,1
2147.50,1
2147.90,1
2148.40,1
2148.70,1
2149.30,1
2149.70,1
2149.90,1
2150.30,2
2150.40,1
2150.50,1
2150.80,2
2150.90,3
2151.20,2
2151.40,1
2151.50,1
2151.60,1
2151.70,2
2151.80,1
2151.90,2
2152.00,1
2152.30,1
2152.50,2
2152.70,1
2152.80,1
2152.90,1
2153.00,1
2153.30,1
2153.40,4
2153.50,2
2153.60,1
2153.80,1
2153.90,1
2154.20,2
2154.40,1
2154.70,2
2154.90,1
2155.20,1
2155.30,2
2155.40,1
2155.70,3
2156.00,1
2156.10,1
2156.40,1
2156.60,1
2156.70,1
2156.80,2
2156.90,1
2157.40,2
2157.60,2
2157.90,1
2158.00,1
2158.10,1
2158.20,1
2158.30,1
2158.40,2
2158.70,2
2158.80,2
2159.20,1
2159.50,1
2160.20,1
2160.60,1
2160.80,2
2160.90,2
2161.20,1
2161.40,3
2161.50,1
