distancia,cant
393.30,1
395.50,1
403.40,1
427.90,1
435.30,1
435.50,1
442.10,1
452.90,1
472.90,1
476.70,1
482.40,1
499.50,1
500.80,1
510.50,1
516.00,1
518.80,1
519.30,1
522.70,1
523.40,1
524.60,1
525.40,1
530.00,1
533.10,1
536.30,1
537.20,1
537.70,1
538.90,1
541.90,1
542.40,1
542.50,1
542.70,1
544.00,1
546.50,1
547.20,1
557.30,1
566.20,1
566.40,1
567.40,1
567.70,1
569.40,1
571.50,1
572.90,1
573.90,1
575.00,1
575.60,1
576.00,1
578.00,1
578.50,1
579.10,1
579.20,2
580.50,1
581.30,1
582.70,1
589.70,1
591.70,1
593.30,1
599.30,1
599.40,1
599.50,1
602.50,1
604.30,1
606.00,1
606.30,1
606.60,2
606.80,1
607.10,1
607.70,1
608.90,1
611.60,1
616.10,1
617.20,1
621.50,1
622.20,2
622.80,1
624.60,1
625.10,1
625.80,1
626.50,1
627.00,1
627.30,1
628.00,1
628.10,1
630.80,1
631.50,1
633.20,1
634.80,1
635.20,1
635.60,1
636.10,1
641.00,1
644.30,1
644.40,1
645.30,1
646.90,1
649.90,1
651.30,1
652.60,1
652.80,1
655.20,1
655.70,1
656.40,1
656.70,1
657.60,1
657.90,1
658.60,1
661.40,1
661.50,1
661.70,1
663.00,1
663.20,1
663.30,2
663.70,1
664.80,1
664.90,1
665.20,1
665.30,1
665.80,1
666.80,1
667.10,1
668.00,1
668.20,1
669.30,1
670.00,1
670.60,1
671.80,1
672.10,1
672.80,1
673.00,1
673.60,1
674.50,1
675.40,1
675.90,1
680.80,1
681.90,1
683.00,1
684.80,1
685.10,2
686.70,1
687.70,1
687.90,1
688.50,1
691.80,1
691.90,1
694.00,1
694.70,1
695.10,1
695.20,1
695.70,1
695.80,1
696.70,2
697.10,1
697.80,1
698.90,1
699.50,1
699.60,1
700.60,1
701.00,1
701.30,1
703.80,1
704.30,2
704.40,1
705.00,1
705.20,1
705.30,1
705.40,1
705.90,1
706.00,1
706.10,1
706.20,1
706.40,1
707.60,1
707.70,1
708.20,1
708.70,1
708.90,1
709.20,1
709.40,1
709.50,1
709.60,1
710.20,1
710.60,1
710.70,1
710.80,1
711.20,1
711.60,1
712.40,1
712.60,1
712.80,1
713.20,1
713.30,1
714.00,1
714.20,1
715.80,2
716.10,1
716.20,2
716.60,1
716.70,2
717.70,1
718.80,1
720.60,1
721.90,1
722.00,1
722.60,1
722.70,1
723.70,1
723.90,1
724.00,1
724.50,1
725.80,1
726.80,1
727.50,1
727.70,1
728.20,2
728.70,1
729.10,1
730.80,1
730.90,1
732.90,1
733.10,1
733.30,1
733.40,2
733.60,1
733.90,2
734.20,1
734.30,1
734.40,1
734.80,1
735.40,1
735.90,1
736.80,1
737.30,1
737.50,1
737.60,1
738.00,1
738.20,2
738.30,1
738.40,1
739.00,1
739.60,1
739.80,1
740.50,1
741.00,1
741.50,1
741.90,1
742.20,1
742.40,1
742.60,1
742.80,2
742.90,1
743.10,1
743.70,1
743.80,1
744.30,1
744.50,1
744.90,1
745.00,1
745.20,2
745.70,2
746.00,1
746.80,1
747.50,1
747.70,1
748.10,1
749.00,1
749.20,1
750.70,1
750.80,2
751.50,1
752.10,1
752.30,1
753.20,1
753.30,1
753.40,2
753.90,2
754.00,1
754.10,1
754.70,1
755.00,1
755.10,2
755.30,1
755.40,1
756.70,2
757.30,1
758.20,1
758.30,1
758.40,1
758.50,2
758.90,1
759.20,1
759.90,2
760.00,1
760.60,1
760.70,1
760.80,1
761.00,2
761.20,1
761.30,1
761.70,2
761.80,1
762.50,1
762.60,1
763.50,1
763.90,1
764.20,1
764.60,1
764.90,2
765.10,2
765.50,1
765.80,1
766.60,1
766.70,1
767.10,1
767.50,1
768.00,1
768.20,1
768.50,1
768.80,1
769.20,2
769.30,1
769.40,1
769.70,1
770.10,1
770.20,1
770.70,1
771.60,1
772.90,1
773.10,1
773.30,1
773.60,1
773.90,1
774.00,1
774.20,2
774.80,1
775.10,1
776.10,1
776.30,1
776.70,1
777.30,1
777.40,1
777.50,1
777.80,1
778.00,1
779.00,1
780.10,1
781.20,2
781.40,1
781.50,1
781.60,1
781.70,1
782.10,2
782.30,1
782.60,1
782.80,1
782.90,1
783.00,1
783.10,1
783.20,1
783.30,1
783.40,1
783.50,1
783.80,1
783.90,1
784.30,1
784.40,1
784.50,2
784.60,1
784.90,1
785.00,1
785.10,1
785.20,1
785.40,1
786.00,1
786.30,1
786.40,1
786.60,2
786.70,1
786.80,2
786.90,3
787.30,1
787.80,1
789.00,1
789.20,1
790.00,1
790.10,1
790.70,1
791.00,1
791.10,1
791.20,1
791.70,1
791.80,1
791.90,1
792.50,2
793.30,1
793.60,2
794.10,1
794.40,1
794.60,1
794.70,2
794.90,1
795.00,1
795.10,1
795.20,2
795.50,1
795.80,1
796.40,2
796.50,1
796.80,1
797.90,1
798.30,1
798.40,2
798.80,1
799.40,1
800.00,1
800.10,3
800.40,1
800.80,1
800.90,1
801.10,1
801.50,1
801.80,1
801.90,1
802.00,2
802.10,1
803.40,1
