distancia,cant
1614.30,1
1693.90,1
1734.50,1
1749.60,1
1801.90,1
1804.60,1
1814.10,1
1816.90,1
1821.70,1
1831.20,1
1872.40,1
1874.40,1
1880.30,1
1891.50,1
1896.00,1
1897.90,1
1899.60,1
1902.90,1
1904.30,1
1911.80,1
1912.10,1
1912.80,1
1914.20,1
1915.00,1
1916.20,1
1926.00,1
1928.80,1
1930.40,1
1934.50,1
1938.00,1
1939.10,1
1946.70,1
1947.80,1
1950.60,1
1955.50,1
1956.90,1
1957.40,1
1957.90,1
1958.10,1
1965.40,1
1966.10,1
1966.50,1
1966.60,1
1967.80,1
1971.50,1
1973.40,1
1974.10,1
1974.20,1
1974.30,1
1974.70,1
1975.50,1
1975.80,1
1979.70,1
1980.00,1
1980.90,1
1981.10,1
1981.20,1
1982.60,1
1983.10,1
1986.80,1
1987.40,1
1993.40,1
1993.70,1
1994.50,1
1994.60,1
1996.20,1
1996.30,1
1996.40,1
1997.40,1
1998.80,1
1998.90,1
2000.70,1
2000.80,1
2001.40,1
2005.60,1
2007.30,1
2007.70,1
2008.80,1
2010.20,1
2010.90,1
2011.20,1
2011.90,1
2013.50,1
2014.70,1
2017.60,1
2017.90,1
2018.80,1
2019.20,1
2020.00,1
2021.50,1
2021.70,1
2022.80,2
2023.30,1
2023.60,2
2025.20,1
2026.00,1
2027.50,1
2028.00,2
2030.00,1
2032.20,1
2032.70,1
2033.00,1
2035.20,1
2035.40,1
2035.50,1
2037.00,1
2037.40,1
2039.20,1
2039.80,1
2041.00,1
2041.90,1
2042.10,1
2042.20,1
2042.30,1
2043.10,1
2044.20,1
2045.90,1
2046.50,1
2048.20,1
2050.60,1
2051.50,1
2051.60,1
2053.20,1
2053.50,1
2053.90,1
2054.30,1
2054.50,1
2054.60,1
2054.70,1
2054.90,1
2056.40,1
2056.80,1
2057.20,1
2057.60,1
2057.90,1
2058.00,1
2058.50,1
2058.60,1
2058.70,1
2059.50,1
2062.20,2
2062.80,1
2063.50,1
2063.60,1
2064.30,1
2064.40,1
2065.00,1
2065.30,1
2065.50,1
2065.70,2
2066.10,1
2066.30,1
2066.50,1
2067.00,2
2067.20,1
2067.30,1
2067.40,1
2067.90,1
2068.70,1
2068.90,1
2069.20,1
2070.90,1
2072.10,1
2072.20,1
2073.10,1
2073.40,1
2074.10,1
2074.60,1
2075.20,1
2076.10,1
2076.30,1
2076.70,1
2077.20,1
2078.40,1
2078.90,1
2080.50,1
2080.70,1
2081.40,1
2082.30,2
2083.30,1
2083.90,1
2084.10,1
2084.30,1
2084.50,1
2085.40,2
2086.00,1
2086.20,1
2086.30,1
2086.40,1
2087.70,1
2088.00,1
2089.00,1
2089.40,1
2089.60,1
2090.50,1
2090.70,1
2091.00,1
2091.40,1
2092.20,1
2092.50,1
2094.00,1
2094.40,1
2095.20,1
2095.30,1
2095.80,1
2095.90,1
2096.10,1
2096.60,1
2098.00,1
2099.10,1
2099.70,1
2099.80,1
2100.30,1
2100.50,1
2100.70,1
2101.40,1
2101.80,1
2102.10,1
2102.80,1
2102.90,2
2103.00,1
2103.20,1
2103.80,1
2104.10,1
2104.30,1
2104.40,1
2104.80,1
2105.60,1
2105.90,1
2107.10,1
2107.70,1
2108.30,1
2108.40,1
2108.50,2
2108.80,1
2109.00,2
2109.10,3
2110.60,1
2111.30,2
2111.70,1
2111.80,2
2112.40,1
2112.70,1
2112.80,1
2113.00,2
2113.10,1
2113.20,2
2113.60,2
2113.80,1
2114.10,1
2114.20,1
2114.30,1
2115.00,1
2115.40,2
2115.80,1
2115.90,1
2116.20,1
2116.40,1
2116.50,1
2116.80,1
2117.30,2
2117.70,1
2118.20,1
2118.40,1
2118.50,1
2118.70,2
2118.80,1
2119.00,1
2119.30,1
2119.40,1
2120.00,2
2120.70,1
2121.50,1
2121.80,2
2121.90,1
2122.20,1
2122.30,1
2122.40,1
2122.90,2
2123.10,1
2123.20,1
2123.40,1
2123.90,1
2124.90,1
2125.00,1
2125.20,2
2125.50,1
2126.10,1
2126.20,1
2126.30,1
2127.20,2
2127.70,1
2127.80,1
2127.90,1
2128.20,1
2128.30,1
2128.40,2
2129.30,1
2129.40,1
2129.70,1
2129.80,1
2129.90,1
